word,length,fre,pmi,entropy
将棋,2,8.52103835906245e-05,8.110121508305342,3.555686137560103
電気,2,5.812363913797564e-05,4.749134782209811,3.5552042649703828
に限らず,4,1.241475787413072e-05,3.5253087988921386,3.5517508004727234
ビデオ,3,7.815654388941386e-05,6.233090653103187,3.5428601703534808
以降,2,0.000363413821406372,6.280764455557153,3.541292174504196
特別,2,7.082055060015479e-05,4.915986580946928,3.5406190866473075
撮影,2,0.00010129313810938474,6.996836783736533,3.5369047684462163
日本,2,0.0014451906779840353,4.95544900987984,3.5364906373459646
メモリ,3,0.00019553243651755883,5.211993457899915,3.5324689177850086
科学,2,0.00018339983223147655,5.168475625440104,3.5320575655914555
組織,2,9.452145199622253e-05,7.225113414316671,3.5310565999730525
など,2,0.0028367721742388694,3.9165896619072966,3.5300882098495845
大阪,2,0.00013091926485446942,5.4910725346522975,3.528284804535832
工業,2,7.477070083283274e-05,5.289003159193008,3.518802170343874
音声,2,8.295315488623709e-05,5.820898495723355,3.5163734495136865
株式会社,4,3.837288797458586e-05,6.8072224776007735,3.5140695798587274
芸術,2,9.19820697037867e-05,6.747921530403826,3.508780783176039
市民,2,3.1883355449472074e-05,3.7473356363697348,3.5070681304927986
計算,2,0.00016788138488881314,6.651306791051177,3.487297394825442
主義,2,0.00021923333791362657,5.505558144009989,3.4840914193521577
を目指す,4,2.7086744452648843e-05,3.974382572821385,3.4832862508575064
トルコ,3,6.743470754357369e-05,4.195158617961426,3.468808914894317
デジタル,4,0.00010213959887353001,5.044154062103264,3.4678461441665256
研究,2,0.0004412882117077374,7.641339871140212,3.467649792331143
温泉,2,2.539382292435829e-05,7.677827667814533,3.465505556907883
集団,2,6.150948219455675e-05,5.82135613932426,3.4596366956296842
コミック,4,0.00011624727827595129,5.347145504380571,3.4556573675040205
東京都,3,7.505285442088117e-05,6.113878665011139,3.4530665475218947
経済,2,0.00020484350492315688,7.192161564312634,3.452346859915521
広告,2,3.611565927019846e-05,6.267221262797049,3.4471115176135294
に基づき,4,1.2979065050227572e-05,3.632939463084504,3.4442494699463153
民族,2,9.169991611573827e-05,6.2924723215839355,3.4437444160368367
アニメ,3,0.0003075474109727838,5.2006115485825966,3.44353502400518
バンド,3,8.238884771014023e-05,4.15049003926685,3.443408846258303
九州,2,5.558425684553981e-05,7.7628437671025345,3.4409238571597487
シリーズ,4,0.0002550668435957766,5.644468257523916,3.4347397705047946
個人,2,8.633899794281818e-05,4.849282762124697,3.429199465507329
医療,2,3.385843056581105e-05,8.181292801745371,3.424359005130233
革命,2,5.840579272602407e-05,7.243107411382849,3.4224371443600385
文学,2,0.00013628018302738948,3.513751144182457,3.414569000213107
米国,2,5.784148554992722e-05,4.374502442283928,3.4120601480627277
関連,2,0.00010608974910620797,4.528198825065468,3.409249203555237
